bioguide_id,first_name,last_name,state_code,state_name,district_number,district_code,district_ordinal,party,chamber,title,title_short,website
A000055,Robert,Aderholt,AL,Alabama,4,AL04,4th,REPUBLICAN,HOUSE,Representative,Rep.,https://aderholt.house.gov
A000360,Lamar,Alexander,TN,Tennessee,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.alexander.senate.gov/
A000367,Justin,Amash,MI,Michigan,3,MI03,3rd,REPUBLICAN,HOUSE,Representative,Rep.,http://amash.house.gov
A000369,Mark,Amodei,NV,Nevada,2,NV02,2nd,REPUBLICAN,HOUSE,Representative,Rep.,https://amodei.house.gov
A000370,Alma,Adams,NC,North Carolina,12,NC12,12th,DEMOCRAT,HOUSE,Representative,Rep.,http://adams.house.gov
A000371,Pete,Aguilar,CA,California,31,CA31,31st,DEMOCRAT,HOUSE,Representative,Rep.,https://aguilar.house.gov
A000372,Rick,Allen,GA,Georgia,12,GA12,12th,REPUBLICAN,HOUSE,Representative,Rep.,http://allen.house.gov
A000374,Ralph,Abraham,LA,Louisiana,5,LA05,5th,REPUBLICAN,HOUSE,Representative,Rep.,https://abraham.house.gov
A000375,Jodey,Arrington,TX,Texas,19,TX19,19th,REPUBLICAN,HOUSE,Representative,Rep.,https://arrington.house.gov
B000213,Joe,Barton,TX,Texas,6,TX06,6th,REPUBLICAN,HOUSE,Representative,Rep.,https://joebarton.house.gov
B000287,Xavier,Becerra,CA,California,34,CA34,34th,DEMOCRAT,HOUSE,Representative,Rep.,https://becerra.house.gov
B000490,Sanford,Bishop,GA,Georgia,2,GA02,2nd,DEMOCRAT,HOUSE,Representative,Rep.,http://bishop.house.gov
B000574,Earl,Blumenauer,OR,Oregon,3,OR03,3rd,DEMOCRAT,HOUSE,Representative,Rep.,https://blumenauer.house.gov
B000575,Roy,Blunt,MO,Missouri,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.blunt.senate.gov
B000755,Kevin,Brady,TX,Texas,8,TX08,8th,REPUBLICAN,HOUSE,Representative,Rep.,http://kevinbrady.house.gov
B000944,Sherrod,Brown,OH,Ohio,,,,DEMOCRAT,SENATE,Senator,Sen.,http://www.brown.senate.gov/
